season,conf,w,l,wl,w_conf,l_conf,wl_conf,srs,sos,pts,pts_vs,ap_pre,ap_high,ap_final,ncaa_tournament,seed,coaches,seeded,year,is_ap_pre,is_ap_high,is_ap_final,pts_diff,school,pts_total
2005-06,OVC,17,14,0.548,11,9,0.55,-5.68,-6.29,71.9,71.3,30,30,30,0,20,Dave Loos,FALSE,2006,FALSE,FALSE,FALSE,0.6,austin-peay,143.2
2004-05,OVC,13,19,0.406,9,7,0.563,-3.76,-1.97,65.3,67.1,30,30,30,0,20,Dave Loos,FALSE,2005,FALSE,FALSE,FALSE,-1.8,austin-peay,132.4
2003-04,OVC,22,10,0.688,16,0,1,1.42,-1.38,65.6,60.5,30,30,30,0,20,Dave Loos,FALSE,2004,FALSE,FALSE,FALSE,5.1,austin-peay,126.1
2002-03,OVC,23,8,0.742,13,3,0.813,-0.84,-1.98,71.1,67.8,30,30,30,1,13,Dave Loos,TRUE,2003,FALSE,FALSE,FALSE,3.3,austin-peay,138.9
2001-02,OVC,14,18,0.438,8,8,0.5,-4.02,-1.02,70.5,70.4,30,30,30,0,20,Dave Loos,FALSE,2002,FALSE,FALSE,FALSE,0.1,austin-peay,140.9
2000-01,OVC,22,10,0.688,10,6,0.625,-0.53,-3.26,78.4,75.1,30,30,30,0,20,Dave Loos,FALSE,2001,FALSE,FALSE,FALSE,3.3,austin-peay,153.5
2015-16,MAC,21,14,0.6,10,8,0.556,0.11,-2.98,70.8,66.8,30,30,30,0,20,James Whitford,FALSE,2016,FALSE,FALSE,FALSE,4,ball-state,137.6
2014-15,MAC,7,23,0.233,2,16,0.111,-5.06,0.04,65.4,69,30,30,30,0,20,James Whitford,FALSE,2015,FALSE,FALSE,FALSE,-3.6,ball-state,134.4
2013-14,MAC,5,25,0.167,2,16,0.111,-10.17,0.65,65.6,73.8,30,30,30,0,20,James Whitford,FALSE,2014,FALSE,FALSE,FALSE,-8.2,ball-state,139.4
2012-13,MAC,15,15,0.5,8,8,0.5,-6.7,-3.15,65.2,68,30,30,30,0,20,Billy Taylor,FALSE,2013,FALSE,FALSE,FALSE,-2.8,ball-state,133.2
2011-12,MAC,15,15,0.5,6,10,0.375,-2.93,-4.45,63.4,60.7,30,30,30,0,20,Billy Taylor,FALSE,2012,FALSE,FALSE,FALSE,2.7,ball-state,124.1
2010-11,MAC,19,13,0.594,10,6,0.625,-0.7,-3.4,67.6,64,30,30,30,0,20,Billy Taylor,FALSE,2011,FALSE,FALSE,FALSE,3.6,ball-state,131.6
2009-10,MAC,15,15,0.5,8,8,0.5,-4.85,-1.48,60.6,62.4,30,30,30,0,20,Billy Taylor,FALSE,2010,FALSE,FALSE,FALSE,-1.8,ball-state,123
2008-09,MAC,14,17,0.452,7,9,0.438,-5.5,-3.02,57.9,59.7,30,30,30,0,20,Billy Taylor,FALSE,2009,FALSE,FALSE,FALSE,-1.8,ball-state,117.6
2007-08,MAC,6,24,0.2,5,11,0.313,-5.61,0.5,57.8,63.9,30,30,30,0,20,Billy Taylor,FALSE,2008,FALSE,FALSE,FALSE,-6.1,ball-state,121.7
